date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:05:05	58352/58352	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:09%20GMT	http://7oroof.com/demos/medcity/home-classic.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/home-classic.html	(from )
13:05:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20May%202023%2004:07:00%20GMT	http://7oroof.com/robots.txt		(from )
13:05:06	1310/1310	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:00%20GMT	http://7oroof.com/demos/medcity/assets/images/favicon/favicon.png	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/assets/images/favicon/favicon.png	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:09	190910/190910	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Mar%202023%2013:19:23%20GMT	http://7oroof.com/demos/medcity/assets/css/libraries.css	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/assets/css/libraries.css	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:13	147079/147079	---M--	200	added ('OK')	text/css	date:Tue,%2028%20Mar%202023%2013:19:23%20GMT	http://7oroof.com/demos/medcity/assets/css/style.css	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/assets/css/style.css	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:13	83062/83062	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:12%20GMT	http://7oroof.com/demos/medcity/index.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/index.html	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:13	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css	C:/My%20Web%20Sites/KESEHATAN-DINAS/use.fontawesome.com/releases/v5.15.3/css/all.css	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:13	2018/2018	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:26%20GMT	http://7oroof.com/demos/medcity/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/assets/images/logo/logo-light.png	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:14	2079/2079	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Mar%202023%2013:20:26%20GMT	http://7oroof.com/demos/medcity/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/assets/images/logo/logo-dark.png	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:14	67116/67116	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:11%20GMT	http://7oroof.com/demos/medcity/home-modern.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/home-modern.html	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:15	62490/62490	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:10%20GMT	http://7oroof.com/demos/medcity/home-dentist.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/home-dentist.html	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:15	34531/34531	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:12%20GMT	http://7oroof.com/demos/medcity/home-pharmacy.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/home-pharmacy.html	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:15	55405/55405	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:00%20GMT	http://7oroof.com/demos/medcity/about-us.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/about-us.html	(from http://7oroof.com/demos/medcity/home-classic.html)
13:05:16	59191/59191	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2013:19:15%20GMT	http://7oroof.com/demos/medcity/services.html	C:/My%20Web%20Sites/KESEHATAN-DINAS/7oroof.com/demos/medcity/services.html	(from http://7oroof.com/demos/medcity/home-classic.html)
